timestamp,page,action,parameters
2026-01-05T16:27:29.453616,Operator Scheduling,run model error,"{""error"": ""'gurobipy._core.LinExpr' object is not subscriptable"", ""fairness"": true, ""allowable_pct"": 1.8, ""consider_skills"": false}"
2026-01-05T16:27:33.601142,Operator Scheduling,run model,"{""fairness"": false, ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1721.0, ""status"": ""OPTIMAL""}"
2026-01-05T16:38:44.210822,Operator Scheduling,run model,"{""fairness"": false, ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1721.0, ""status"": ""OPTIMAL""}"
2026-01-05T16:38:56.403807,Operator Scheduling,run model,"{""fairness"": false, ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1721.0, ""status"": ""OPTIMAL""}"
2026-01-05T16:42:29.493510,Operator Scheduling,run model,"{""fairness"": false, ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1762.0, ""status"": ""OPTIMAL""}"
2026-01-05T16:42:37.012907,Operator Scheduling,run model,"{""fairness"": false, ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1762.0, ""status"": ""OPTIMAL""}"
2026-01-05T16:43:37.898313,Operator Scheduling,run model,"{""fairness"": false, ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1762.0, ""status"": ""OPTIMAL""}"
2026-01-05T16:43:46.174966,Operator Scheduling,run model,"{""fairness"": false, ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1762.0, ""status"": ""OPTIMAL""}"
2026-01-05T16:46:42.862452,Operator Scheduling,run model error,"{""error"": ""'gurobipy._core.LinExpr' object is not subscriptable"", ""fairness"": true, ""allowable_pct"": 1.8, ""consider_skills"": false}"
2026-01-05T16:47:49.689168,Operator Scheduling,run model,"{""fairness"": false, ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
2026-01-05T16:47:54.729540,Operator Scheduling,run model,"{""fairness"": false, ""allowable_pct"": null, ""consider_skills"": false, ""baseline_cost"": 1755.0, ""status"": ""OPTIMAL""}"
